estacion_nombre,año,Ldtn,Ldtn_n
Alameda,2020,74.22774026558935,4227
Alameda,2021,73.87245282528636,8661
Alameda,2022,75.21917320437117,8576
Alameda,2023,75.03706771378442,4335
Autopista Central,2020,76.95680276647055,4228
Autopista Central,2021,77.71700275039987,7341
Autopista Central,2022,78.92122759818267,8734
Autopista Central,2023,78.83661006576293,4335
Cerro Navia,2020,61.39785798137864,3270
Cerro Navia,2021,59.08047910375203,8661
Cerro Navia,2022,60.920351401457175,8728
Cerro Navia,2023,57.49756425357852,4171
Concepción Barrio Norte,2020,61.60237544154076,2719
Concepción Barrio Norte,2021,62.49760263220132,8660
Concepción Barrio Norte,2022,62.68071483560991,8731
Concepción Barrio Norte,2023,62.65139862308456,4335
Concepción Centro,2020,71.82122112827754,2719
Concepción Centro,2021,73.11696698078532,8661
Concepción Centro,2022,74.0559085515472,8731
Concepción Centro,2023,74.08605222030764,4335
El Bosque,2020,66.34332947466747,3270
El Bosque,2021,66.2897642709105,8661
El Bosque,2022,66.33788769185847,8189
El Bosque,2023,65.44710497776924,4239
Independencia,2020,57.795834886521945,3270
Independencia,2021,58.94183063956036,8548
Independencia,2022,57.84687556665499,8722
Independencia,2023,57.70355997460348,4335
La Florida,2020,67.15991420048935,2886
La Florida,2021,67.57416159559324,8634
La Florida,2022,68.7399951969747,8557
La Florida,2023,68.61524152603556,4151
Las Condes,2020,67.85616341454865,2837
Las Condes,2021,68.23973614529619,8655
Las Condes,2022,69.2681839126881,8731
Las Condes,2023,68.78579015244142,4302
Providencia,2020,64.18060267406753,3030
Providencia,2021,64.36974577083117,8380
Providencia,2022,65.02510495502987,8634
Providencia,2023,64.88632781111902,4122
San Miguel,2020,68.17730552718828,2886
San Miguel,2021,68.53970021872841,8661
San Miguel,2022,68.75306849785348,8733
San Miguel,2023,67.65149619976624,4335
Valparaíso,2020,68.09095860010623,3030
Valparaíso,2021,67.4859793204843,8661
Valparaíso,2022,68.42231351183506,8731
Valparaíso,2023,68.12746164417439,4335
Viña del Mar,2020,69.36442097254468,3027
Viña del Mar,2021,69.664591760288,8657
Viña del Mar,2022,70.63134426655883,8731
Viña del Mar,2023,70.15565252570356,4331
Ñuñoa,2020,56.684999888211685,3270
Ñuñoa,2021,56.761365026103505,8615
Ñuñoa,2022,57.62250999040542,8694
Ñuñoa,2023,56.60941835853153,4254
