Region;Estacion;Anio;Ruido_dB;n_serie
Gran Santiago;Alameda;2023;75.1;00623
Gran Santiago;Alameda;2024;74.8;00623
Gran Santiago;Alameda;2025;74.8;00623
Gran Santiago;Alameda;2026;74.1;00623
Gran Santiago;San Miguel;2023;67.7;00625
Gran Santiago;San Miguel;2024;67;00625
Gran Santiago;San Miguel;2025;66.6;00625
Gran Santiago;San Miguel;2026;66.1;00625
Concepción;Concepción Barrio Norte;2023;63.8;00627
Concepción;Concepción Barrio Norte;2024;62.6;00627
Concepción;Concepción Barrio Norte;2025;62.1;00627
Concepción;Concepción Barrio Norte;2026;60.2;00627
Gran Santiago;Independencia;2023;57;00628
Gran Santiago;Independencia;2024;55.5;00628
Gran Santiago;Independencia;2025;56.8;00628
Gran Santiago;Independencia;2026;55.1;00628
Gran Santiago;Autopista Central;2023;79;00629
Gran Santiago;Autopista Central;2024;78.9;00629
Gran Santiago;Autopista Central;2025;78.8;00629
Gran Santiago;Autopista Central;2026;78.9;00629
Gran Santiago;Ñuñoa;2023;56.7;00853
Gran Santiago;Ñuñoa;2024;56.4;00853
Gran Santiago;Ñuñoa;2025;56.1;00853
Gran Santiago;Ñuñoa;2026;55.3;00853
Valparaíso / Viña del Mar;Álvarez Viña del Mar;2023;73.4;01010
Valparaíso / Viña del Mar;Álvarez Viña del Mar;2024;73.3;01010
Valparaíso / Viña del Mar;Álvarez Viña del Mar;2025;73.6;01010
Valparaíso / Viña del Mar;Álvarez Viña del Mar;2026;73.7;01010
Valparaíso / Viña del Mar;Playa Ancha;2023;68.4;00852
Valparaíso / Viña del Mar;Playa Ancha;2024;67.6;00852
Valparaíso / Viña del Mar;Playa Ancha;2025;68.1;00852
Valparaíso / Viña del Mar;Playa Ancha;2026;67.9;00852
Concepción;CIAM Concepción;2023;68.5;01344
Concepción;CIAM Concepción;2024;68.2;01344
Concepción;CIAM Concepción;2025;69.9;01344
Concepción;CIAM Concepción;2026;68.1;01344
Gran Santiago;Las Condes;2023;68.8;01006
Gran Santiago;Las Condes;2024;68.3;01006
Gran Santiago;Las Condes;2025;68.1;01006
Gran Santiago;Las Condes;2026;67.3;01006
Valparaíso / Viña del Mar;Valparaíso;2023;68.1;01007
Valparaíso / Viña del Mar;Valparaíso;2024;68;01007
Valparaíso / Viña del Mar;Valparaíso;2025;68.1;01007
Valparaíso / Viña del Mar;Valparaíso;2026;67.3;01007
Valparaíso / Viña del Mar;Viña del Mar;2023;70;01008
Valparaíso / Viña del Mar;Viña del Mar;2024;69.9;01008
Valparaíso / Viña del Mar;Viña del Mar;2025;70.1;01008
Valparaíso / Viña del Mar;Viña del Mar;2026;70.2;01008
Gran Santiago;La Florida;2023;68.4;01009
Gran Santiago;La Florida;2024;68;01009
Gran Santiago;La Florida;2025;67.9;01009
Gran Santiago;La Florida;2026;67.2;01009
Gran Santiago;Providencia;2023;64.6;01011
Gran Santiago;Providencia;2024;64.4;01011
Gran Santiago;Providencia;2025;63.8;01011
Gran Santiago;Providencia;2026;63.3;01011
Gran Santiago;Cerro Navia;2023;59.2;01013
Gran Santiago;Cerro Navia;2024;58.5;01013
Gran Santiago;Cerro Navia;2025;58.7;01013
Gran Santiago;Cerro Navia;2026;58.7;01013
Gran Santiago;El Bosque;2023;65.6;01120
Gran Santiago;El Bosque;2024;66.2;01120
Gran Santiago;El Bosque;2025;66.3;01120
Gran Santiago;El Bosque;2026;66.1;01120
Concepción;INFOCAP Concepción;2023;75.6;01784
Concepción;INFOCAP Concepción;2024;75;01784
Concepción;INFOCAP Concepción;2025;75.1;01784
Concepción;INFOCAP Concepción;2026;74.5;01784
Concepción;San Pedro de La Paz;2024;75.6;01785
Concepción;San Pedro de La Paz;2025;75.6;01785
Concepción;San Pedro de La Paz;2026;75.4;01785
Gran Santiago;San Bernardo;2023;71.9;01787
Gran Santiago;San Bernardo;2024;71.9;01787
Gran Santiago;San Bernardo;2025;71.9;01787
Gran Santiago;San Bernardo;2026;72;01787
Gran Santiago;San Joaquín;2025;72.1;01668
Gran Santiago;San Joaquín;2026;71.4;01668
