Estacion;Descripcion;Imagen
Alameda;<p>Estación de monitoreo ubicada en la Alameda, en el centro de Santiago. Registra los niveles de ruido ambiental producto del flujo vehicular y actividades urbanas de esta importante arteria en la Región Metropolitana.</p>;images/alameda.jpg
San Miguel;;images/san_miguel.jpg
Independencia;;images/independencia.jpg
Concepción Barrio Norte;;images/barrio_norte.jpg
Autopista Central;;images/autopista_central.jpg
Ñuñoa;;images/nunoa.jpg
Álvarez Viña del Mar;;images/vina_del_mar.jpg
Playa Ancha;;images/playa_ancha.jpg
CIAM Concepción;;images/ciam.jpg
Las Condes;;images/las_condes.jpg
Valparaíso;;images/valparaiso.jpg
Viña del Mar;;images/viña_del_mar.jpg
La Florida;;images/la_florida.jpg
Providencia;;images/providencia.jpg
Cerro Navia;;images/cerro_navia.jpg
El Bosque;;images/el_bosque.jpg
INFOCAP Concepción;;images/infocap.jpg
San Pedro de La Paz;;images/san_pedro_de_la_paz.jpg
San Bernardo;;images/san_bernardo.jpg
San Joaquín;;images/san_joaquin.jpg
