Estacion;Anio;Hora;Ruido_dB
Alameda;2025;00:00;68.3
Alameda;2025;01:00;66.9
Alameda;2025;02:00;65.6
Alameda;2025;03:00;65.1
Alameda;2025;04:00;65.5
Alameda;2025;05:00;66.6
Alameda;2025;06:00;68.6
Alameda;2025;07:00;70.1
Alameda;2025;08:00;70.5
Alameda;2025;09:00;70.5
Alameda;2025;10:00;70.9
Alameda;2025;11:00;71.3
Alameda;2025;12:00;71.3
Alameda;2025;13:00;70.7
Alameda;2025;14:00;71.5
Alameda;2025;15:00;70.8
Alameda;2025;16:00;71
Alameda;2025;17:00;71
Alameda;2025;18:00;70.7
Alameda;2025;19:00;70.9
Alameda;2025;20:00;71
Alameda;2025;21:00;71
Alameda;2025;22:00;70.3
Alameda;2025;23:00;70.7
Alameda;2024;00:00;72.9
Alameda;2024;01:00;71.5
Alameda;2024;02:00;69.8
Alameda;2024;03:00;68.8
Alameda;2024;04:00;69.1
Alameda;2024;05:00;70.8
Alameda;2024;06:00;74
Alameda;2024;07:00;74.6
Alameda;2024;08:00;74.6
Alameda;2024;09:00;74.3
Alameda;2024;10:00;74.4
Alameda;2024;11:00;74.4
Alameda;2024;12:00;74.5
Alameda;2024;13:00;74.3
Alameda;2024;14:00;74.5
Alameda;2024;15:00;74.6
Alameda;2024;16:00;74.6
Alameda;2024;17:00;74.9
Alameda;2024;18:00;75
Alameda;2024;19:00;75.2
Alameda;2024;20:00;75.6
Alameda;2024;21:00;75.5
Alameda;2024;22:00;74.9
Alameda;2024;23:00;74
Alameda;2026;00:00;51.7
Alameda;2026;01:00;48.2
Alameda;2026;02:00;47.2
Alameda;2026;03:00;46.7
Alameda;2026;04:00;46.6
Alameda;2026;05:00;49.3
Alameda;2026;06:00;51.6
Alameda;2026;07:00;54
Alameda;2026;08:00;56
Alameda;2026;09:00;58.8
Alameda;2026;10:00;58.7
Alameda;2026;11:00;59
Alameda;2026;12:00;59.9
Alameda;2026;13:00;59.4
Alameda;2026;14:00;58.9
Alameda;2026;15:00;58.6
Alameda;2026;16:00;57.3
Alameda;2026;17:00;56.5
Alameda;2026;18:00;56.2
Alameda;2026;19:00;56.5
Alameda;2026;20:00;57.6
Alameda;2026;21:00;54.6
Alameda;2026;22:00;54
Alameda;2026;23:00;50.6
Autopista Central;2025;00:00;72.9
Autopista Central;2025;01:00;71.5
Autopista Central;2025;02:00;69.8
Autopista Central;2025;03:00;68.8
Autopista Central;2025;04:00;69.1
Autopista Central;2025;05:00;70.8
Autopista Central;2025;06:00;74
Autopista Central;2025;07:00;74.6
Autopista Central;2025;08:00;74.6
Autopista Central;2025;09:00;74.3
Autopista Central;2025;10:00;74.4
Autopista Central;2025;11:00;74.4
Autopista Central;2025;12:00;74.5
Autopista Central;2025;13:00;74.3
Autopista Central;2025;14:00;74.5
Autopista Central;2025;15:00;74.6
Autopista Central;2025;16:00;74.6
Autopista Central;2025;17:00;74.9
Autopista Central;2025;18:00;75
Autopista Central;2025;19:00;75.2
Autopista Central;2025;20:00;75.6
Autopista Central;2025;21:00;75.5
Autopista Central;2025;22:00;74.9
Autopista Central;2025;23:00;74
Cerro Navia;2025;00:00;51.7
Cerro Navia;2025;01:00;48.2
Cerro Navia;2025;02:00;47.2
Cerro Navia;2025;03:00;46.7
Cerro Navia;2025;04:00;46.6
Cerro Navia;2025;05:00;49.3
Cerro Navia;2025;06:00;51.6
Cerro Navia;2025;07:00;54
Cerro Navia;2025;08:00;56
Cerro Navia;2025;09:00;58.8
Cerro Navia;2025;10:00;58.7
Cerro Navia;2025;11:00;59
Cerro Navia;2025;12:00;59.9
Cerro Navia;2025;13:00;59.4
Cerro Navia;2025;14:00;58.9
Cerro Navia;2025;15:00;58.6
Cerro Navia;2025;16:00;57.3
Cerro Navia;2025;17:00;56.5
Cerro Navia;2025;18:00;56.2
Cerro Navia;2025;19:00;56.5
Cerro Navia;2025;20:00;57.6
Cerro Navia;2025;21:00;54.6
Cerro Navia;2025;22:00;54
Cerro Navia;2025;23:00;50.6
